Stadtteil,Anteil Bruttoarbeitsentgelt bis 2.000,Anteil Bruttoarbeitsentgelt über 2.000 bis 4.000,Anteil Bruttoarbeitsentgelt über 4.000 bis 5.000,Anteil Bruttoarbeitsentgelt über 5.000,Median Bruttoarbeitsentgelte,Stadtteilnummer,Anteil Wahlberechtigte ohne Sperrvermerk,Anteil Wähler,Anteil darunter Wähler mit Wahlschein,Anteil ungültige Stimmen,Anteil CDU,Anteil SPD,Anteil GRÜNE,Anteil DIE LINKE,Anteil AfD,Anteil FDP,Anteil PIRATEN,Anteil NPD,Anteil FREIE WÄHLER,Anteil Die PARTEI,Anteil BüSo,Anteil MLPD,Anteil BGE,Anteil DKP,Anteil DM,Anteil ÖDP,Anteil Tierschutzpartei,Anteil V-Partei³
Altstadt,0.2375586854460094,0.39812206572769954,0.14178403755868543,0.22253521126760564,3270.0,1,73.2,74.8,34.4,0.4,26.3,17.6,14.6,13.0,8.3,15.2,0.5,0.4,0.4,1.9,0.0,0.0,0.3,0.0,0.2,0.3,0.8,0.2
Innenstadt,0.29227323628219487,0.387458006718925,0.10638297872340426,0.21388577827547592,2932.0,2,71.6,67.6,40.0,0.8,26.0,15.3,15.0,13.7,7.8,16.9,0.7,0.3,0.2,2.0,0.0,0.1,0.1,0.0,0.4,0.2,0.7,0.4
Bahnhofsviertel,,,,,,10,73.0,74.1,34.6,1.2,21.4,15.6,18.4,16.5,7.1,16.8,0.4,0.1,0.2,1.9,0.0,0.1,0.2,0.0,0.1,0.3,0.6,0.2
Westend-Süd,0.08549618320610687,0.2385496183206107,0.13912213740458015,0.5368320610687023,5247.0,4,62.8,84.8,42.0,0.4,31.6,11.9,13.6,6.7,6.2,27.9,0.1,0.0,0.1,0.6,0.0,0.0,0.2,0.0,0.1,0.2,0.4,0.2
Westend-Nord,0.15312372396896692,0.30992241731318904,0.1490404246631278,0.38791343405471623,4236.0,5,69.3,78.6,37.3,0.6,28.7,15.9,16.2,9.4,5.2,22.2,0.4,0.1,0.1,0.7,0.0,0.0,0.1,0.1,0.2,0.1,0.4,0.2
Nordend-West,0.12112963593058863,0.3495520018146762,0.15821708063967335,0.37110128161506184,4172.0,6,67.3,85.0,37.0,0.5,25.3,15.6,20.1,12.8,5.1,17.7,0.5,0.1,0.2,1.2,0.0,0.0,0.3,0.1,0.1,0.2,0.6,0.2
Nordend-Ost,0.13668127442852065,0.3845789411346678,0.16344901101504206,0.31529077342176953,3891.0,7,70.2,82.8,34.4,0.6,20.7,17.6,23.6,16.6,4.5,13.1,0.4,0.0,0.2,1.6,0.0,0.1,0.3,0.0,0.0,0.2,0.7,0.2
Ostend,0.18292838061315353,0.41966670907009285,0.14921765678666837,0.24818725353008522,3464.0,8,72.1,77.9,34.2,0.8,23.7,19.4,18.7,14.2,6.3,13.6,0.5,0.1,0.3,1.5,0.0,0.1,0.3,0.1,0.2,0.2,0.8,0.2
Bornheim,0.17353276714412474,0.4676131322094055,0.1494485993155026,0.20940550133096716,3341.0,9,74.5,78.1,31.2,0.9,22.2,21.4,18.3,16.1,6.8,10.9,0.4,0.1,0.4,1.5,0.0,0.1,0.4,0.1,0.1,0.2,1.0,0.2
Gutleutviertel,0.2495798319327731,0.376890756302521,0.11722689075630252,0.25630252100840334,3190.0,10,73.0,74.1,34.6,1.2,21.4,15.6,18.4,16.5,7.1,16.8,0.4,0.1,0.2,1.9,0.0,0.1,0.2,0.0,0.1,0.3,0.6,0.2
Gallus,0.32425268738035634,0.4637019584744515,0.09895449860108968,0.11309085554410249,2620.0,11,75.3,68.9,34.5,1.0,24.4,18.1,13.4,12.7,9.5,17.3,0.5,0.2,0.4,1.5,0.0,0.3,0.3,0.0,0.3,0.2,0.8,0.2
Bockenheim,0.15772395410823967,0.39911924904392165,0.15308842276045892,0.2900683740873798,3720.0,12,72.3,77.2,32.5,0.8,22.5,19.0,19.1,14.1,6.0,15.1,0.5,0.1,0.4,1.5,0.0,0.1,0.3,0.1,0.1,0.3,0.7,0.2
Sachsenhausen-Nord,0.14410625345877145,0.35672385168788046,0.14532374100719425,0.35384615384615387,3996.0,13,68.8,81.2,36.8,0.6,27.1,15.9,18.6,10.3,5.8,19.2,0.4,0.1,0.3,1.1,0.0,0.0,0.3,0.0,0.1,0.2,0.4,0.2
Sachsenhausen-Süd,0.14767810787424285,0.37020478800115375,0.1481107585809057,0.33400634554369774,3896.0,14,68.2,78.8,38.4,0.7,30.2,17.4,13.6,9.1,7.6,18.9,0.3,0.1,0.3,0.8,0.0,0.1,0.2,0.0,0.1,0.2,0.9,0.2
Oberrad,0.23354037267080746,0.4788819875776398,0.12173913043478261,0.1658385093167702,2983.0,16,78.5,71.6,28.3,1.4,27.4,22.5,11.5,11.2,10.5,12.2,0.6,0.2,0.3,1.2,0.0,0.2,0.3,0.0,0.2,0.2,1.2,0.2
Niederrad,0.20894334818586888,0.49299809038828774,0.12221514958625079,0.17584341183959262,3083.0,17,76.4,70.8,31.8,1.4,26.1,22.4,11.9,10.9,10.3,13.6,0.6,0.2,0.5,1.6,0.0,0.1,0.1,0.1,0.2,0.2,0.9,0.2
Schwanheim,0.2253491324587389,0.48878544223444775,0.13140076174354634,0.15446466356326705,3079.0,18,82.1,69.6,24.3,1.9,30.6,23.2,9.5,8.7,12.4,11.1,0.4,0.3,0.7,0.9,0.0,0.0,0.2,0.1,0.2,0.1,1.2,0.2
Griesheim,0.34082818062581977,0.49203672475173316,0.08244332021735057,0.0846917744050965,2466.0,19,85.1,61.3,22.6,1.7,25.3,25.6,9.6,11.3,12.2,9.6,0.6,0.7,0.9,1.4,0.0,0.3,0.3,0.0,0.3,0.1,1.5,0.1
Rödelheim,0.21700680272108844,0.45374149659863944,0.1287981859410431,0.20045351473922904,3162.0,20,78.8,73.2,27.8,1.1,23.6,21.2,13.9,16.2,9.1,10.7,0.7,0.2,0.5,1.7,0.0,0.1,0.3,0.1,0.3,0.2,1.0,0.3
Hausen,0.2552901023890785,0.42935153583617747,0.12218430034129693,0.1931740614334471,3099.0,21,78.3,79.4,35.6,1.6,27.5,23.0,13.4,12.6,7.7,12.6,0.2,0.1,0.5,1.1,0.0,0.0,0.4,0.0,0.1,0.1,0.6,0.1
Praunheim,0.23434903047091413,0.4731301939058172,0.12132963988919668,0.17119113573407202,3019.0,22,79.6,73.1,26.6,1.2,24.5,24.3,12.8,12.6,11.1,10.5,0.4,0.3,0.5,1.0,0.0,0.0,0.2,0.0,0.2,0.2,1.3,0.2
Heddernheim,0.23792357606344627,0.4695986541696707,0.12232636385484258,0.17015140591204037,3032.0,24,80.4,72.3,25.6,1.0,24.7,24.7,13.3,13.0,10.1,9.8,0.6,0.3,0.7,1.0,0.0,0.1,0.3,0.0,0.1,0.1,1.1,0.1
